,0
0,spain
1,france
2,portugal
3,switzerland
4,austria-hungary
5,german empire
6,belgium
7,luxembourg
8,united kingdom
9,netherlands
10,denmark
11,norway
12,sweden
13,romania
14,serbia
15,turkey
16,bulgaria
17,albania
18,greece
